"","id","member_id","loan_amnt","funded_amnt","term_mnths","int_per","installment","grade","sub_grade","emp_title","emp_yrs","home_ownership","annual_inc","verification_status","issue_d","loan_status","desc","purpose","title","addr_state","dti","open_acc","revol_bal","revol_util_per","total_acc","total_pymnt","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","last_payment_due","issue_date","lpd_yr","iss_yr","paid_mths","unpaid_mths","future_value","credit_loss"
"2",1077430,1314167,2500,2500,60,15.27,60,"C","C4","ryder","<1","rent",30000,"source verified","Dec-11","Charged Off","  Borrower added on 12/22/11 > I plan to use this money to finance the motorcycle i am looking at. I plan to have it paid off as soon as possible/when i sell my old bike. I only need this money because the deal im looking at is to good to pass up.<br><br>  Borrower added on 12/22/11 > I plan to use this money to finance the motorcycle i am looking at. I plan to have it paid off as soon as possible/when i sell my old bike.I only need this money because the deal im looking at is to good to pass up. I have finished college with an associates degree in business and its takingmeplaces<br>","car","bike","GA",1,3,1687,9.4,4,1009,456,435,0,117,1,"Apr-13",120,2013-04-01,2011-12-01,"2013","2011",16,44,2044,2567
"9",1071795,1306957,5600,5600,60,21.28,152,"F","F2","missing","4","own",40000,"source verified","Dec-11","Charged Off","  Borrower added on 12/21/11 > I own a small home-based judgment collection business. I have 5 years experience collecting debts. I am now going from a home office to a small office. I also plan to buy a small debt portfolio (eg. $10K for $1M of debt) <br>My score is not A+ because I own my home and have no mortgage.<br>","small_business","expand business & buy debt portfolio","CA",5.55,11,5210,32.6,13,646,162,295,0,189,2,"Apr-12",152,2012-04-01,2011-12-01,"2012","2011",4,56,5438,8435
"10",1071570,1306721,5375,5375,60,12.69,121,"B","B5","starbucks","<1","rent",15000,"verified","Dec-11","Charged Off","  Borrower added on 12/16/11 > I'm trying to build up my credit history. I live with my brother and have no car payment or credit cards. I am in community college and work full time. Im going to use the money to make some repairs around the house and get some maintenance done on my car.<br><br>  Borrower added on 12/20/11 > $1000 down only $4375 to go. Thanks to everyone that invested so far, looking forward to surprising my brother with the fixes around the house.<br>","other","building my credit history.","TX",18.08,2,9279,36.5,3,1476,673,533,0,269,3,"Nov-12",121,2012-11-01,2011-12-01,"2012","2011",11,49,4702,5758
"13",1064687,1298717,9000,9000,36,13.49,305,"C","C1","va. dept of conservation/recreation","<1","rent",30000,"source verified","Dec-11","Charged Off","  Borrower added on 12/15/11 > Plan to pay off 2 charge accounts. I will close one of them and ask for a credit line decrease from the other. Also borrowed money from a friend and would like to pay that off.......<br><br>  Borrower added on 12/17/11 > The credit card that I am asking to be decreased will be ONLY for emergency purposes.....<br>","debt_consolidation","freedom","VA",10.08,4,10452,91.7,9,2271,1256,570,0,444,4,"Jul-12",305,2012-07-01,2011-12-01,"2012","2011",7,29,7744,8662
"15",1069057,1303503,10000,10000,36,10.65,326,"B","B2","sfmta","3","rent",1e+05,"source verified","Dec-11","Charged Off","","other","other loan","CA",7.06,14,11997,55.5,29,7472,5433,1393,0,645,6,"Oct-13",326,2013-10-01,2011-12-01,"2013","2011",22,14,4567,4227
"22",1039153,1269083,21000,21000,36,12.42,702,"B","B4","osram sylvania","10+","rent",105000,"verified","Dec-11","Charged Off","  Borrower added on 12/16/11 > Decided to clean up the debt and get my finances together.  Thank you for your consideration.<br>","debt_consolidation","debt cleanup","FL",13.22,7,32135,90.3,38,14025,10695,3330,0,0,0,"Sep-13",702,2013-09-01,2011-12-01,"2013","2011",21,15,10305,11175
"25",1069559,1304634,6000,6000,36,11.71,198,"B","B3","bmg-educational","1","rent",76000,"not verified","Dec-11","Charged Off","","major_purchase","cash","CA",2.4,7,5963,29.7,7,2050,1306,475,0,269,3,"Oct-12",198,2012-10-01,2011-12-01,"2012","2011",10,26,4694,5061
"27",1069800,1304679,15000,15000,36,14.27,515,"C","C2","nyc transit","9","rent",60000,"not verified","Dec-11","Charged Off","  Borrower added on 12/15/11 > looking to consolidate into just one monthly payment<br>","debt_consolidation","consolidation","NY",15.22,7,5872,57.6,11,0,0,0,0,0,0,"",0,NA,2011-12-01,NA,"2011",NA,NA,15000,NA
"28",1069657,1304764,5000,5000,60,16.77,124,"D","D2","frito lay","2","rent",50004,"not verified","Dec-11","Charged Off","  Borrower added on 12/16/11 > I have a stable job where I will never get laid off.<br><br> Borrower added on 12/16/11 > I need the loan to pay for some recent medical expenses and I need to get my car fixed.<br>","other","other","PA",13.97,14,4345,59.5,22,1609,629,719,0,261,2,"Dec-12",124,2012-12-01,2011-12-01,"2012","2011",12,48,4371,5787
"47",1069465,1304521,5000,5000,36,8.9,159,"A","A5","steris corporation","10+","mortgage",1e+05,"source verified","Dec-11","Charged Off","","debt_consolidation","debt consolidation for a better life","OH",16.33,17,74351,62.1,35,5021,4217,697,0,107,1,"Aug-14",159,2014-08-01,2011-12-01,"2014","2011",32,4,783,689
"51",1069248,1304123,15000,15000,36,9.91,483,"B","B1","caterpillar inc.","8","mortgage",80000,"not verified","Dec-11","Charged Off","  Borrower added on 12/15/11 > Using to pay off existing loans and credit card debt<br><br>  Borrower added on 12/16/11 > All are of a higher interest rate so this interest rate is substantionaly lower giving me peace of mind..<br><br>  Borrower added on 12/18/11 > My job is very stable and I have seniority over more than 80% of the workforce which makes it highly unlikely for me to get laid off..I made it through the 2008 economic downturn without a beat and I still have unlimited overtime oppurtunity<br>","debt_consolidation","debt consolidation loan","IL",9.12,9,11845,63.7,28,16178,13556,2374,24,223,36,"Oct-14",483,2014-10-01,2011-12-01,"2014","2011",34,2,1444,1239
"54",1069243,1304116,12000,12000,36,15.96,422,"C","C5","chemat technology inc","4","rent",50000,"not verified","Dec-11","Charged Off","","car","car loan","CA",20.88,11,15793,90.8,11,3522,1904,1039,0,579,5,"Aug-12",422,2012-08-01,2011-12-01,"2012","2011",8,28,10096,11573
"56",1069410,1303652,21000,21000,60,19.91,555,"E","E4","costco","7","rent",50000,"verified","Dec-11","Charged Off","  Borrower added on 12/20/11 > consolidation  of credit cards.<br>","debt_consolidation"," bill pay of","WA",21.58,7,19448,97.6,14,18319,8991,9328,0,0,0,"Oct-14",555,2014-10-01,2011-12-01,"2014","2011",34,26,12009,14872
"65",1069126,1303778,10000,10000,60,10.65,216,"B","B2","cec entertainment inc","10+","rent",45996,"verified","Dec-11","Charged Off","","debt_consolidation","consolidation","OH",21.73,7,11170,30.1,15,8773,5495,2429,1,847,153,"Apr-15",1,2015-04-01,2011-12-01,"2015","2011",40,20,4505,4093
"67",1069093,1303740,12500,8925,60,17.27,223,"D","D3","grandma kitchen","5","rent",30000,"source verified","Dec-11","Charged Off","  Borrower added on 12/16/11 > So I can pay all my bills so I will have just one monthy payment .<br>","debt_consolidation","allen","MN",13.16,7,9844,70.8,28,5578,2813,2742,0,22,0,"Feb-14",223,2014-02-01,2011-12-01,"2014","2011",26,34,9687,12286
"69",1068906,1303528,8200,8200,60,21.28,223,"F","F2","autozone","4","rent",75000,"source verified","Dec-11","Charged Off","  Borrower added on 12/15/11 > Business/credit card<br>","small_business","small_business loan","CA",12.48,6,9012,73.9,11,4174,1526,2266,0,382,4,"Jun-13",223,2013-06-01,2011-12-01,"2013","2011",18,42,6674,9152
"72",1060981,1292558,6400,6400,36,16.77,227,"D","D2","riverside county, california","5","rent",75000,"not verified","Dec-11","Charged Off","  Borrower added on 12/14/11 > Debt consolidation<br>","debt_consolidation","help","CA",20.22,9,7159,67.5,27,4776,3334,1432,0,10,0,"Oct-13",227,2013-10-01,2011-12-01,"2013","2011",22,14,3066,3392
"98",1068542,1303143,17500,17500,60,17.27,437,"D","D3","travelers insurance","7","mortgage",45000,"not verified","Dec-11","Charged Off","  Borrower added on 12/14/11 > Pay off credit card debit<br>","credit_card","debit free","WA",21.31,13,20129,86.1,26,10037,3078,3473,0,3486,626,"Apr-13",437,2013-04-01,2011-12-01,"2013","2011",16,44,14422,16094
"101",1068509,1302907,6200,6200,36,9.91,200,"B","B1","sunrise senior living","2","rent",25000,"not verified","Dec-11","Charged Off","  Borrower added on 12/14/11 > This loan will consolidate a current personal loan from Wells Fargo and a high rate chase visa card. The money currently alotted to those obligations will be used towards payment of this loan.<br>","debt_consolidation","wells/chase refi","CA",20.64,7,6533,47.7,12,2452,1701,493,0,258,3,"Dec-12",200,2012-12-01,2011-12-01,"2012","2011",12,24,4499,4710
"106",1068309,1302924,18825,18825,60,16.77,466,"D","D2","texas health & human services commission","10+","rent",38000,"verified","Dec-11","Charged Off","","debt_consolidation","coledon's club loan","TX",23.18,6,11004,79.7,7,18749,8088,6787,0,3875,671,"Sep-14",466,2014-09-01,2011-12-01,"2014","2011",33,27,10737,9085
"115",1068012,1302365,10000,10000,36,18.25,363,"D","D5","gucci group/ yves saint laurent","1","rent",75000,"source verified","Dec-11","Charged Off","","credit_card","credit card","CA",24.14,9,22828,96.3,26,11731,8320,3145,36,229,2,"Jan-15",200,2015-01-01,2011-12-01,"2015","2011",37,-1,1680,1451
"121",1068202,1302588,25000,25000,60,13.49,575,"C","C1","midnight","10+","mortgage",67000,"verified","Dec-11","Charged Off","  Borrower added on 12/13/11 > Pay off my credit card, finish my house to refinance,appraised two years ago at $200.000 from an appraiser, <br>","credit_card","pay off credit card, refinance house","AK",14.15,6,15319,91.2,21,23881,13833,8008,29,2011,362,"Mar-15",1179,2015-03-01,2011-12-01,"2015","2011",39,21,11167,10589
"122",1068006,1302360,19750,19750,36,10.65,643,"B","B2","pacific wood laminates, inc.","4","rent",45000,"verified","Dec-11","Charged Off","  Borrower added on 12/13/11 > I have a very stable job/ I am a good borrower because I pay my bills on time in the fastest way that I can; and my credit score shows that I care about my credit, and I care about improving my credit. <br>","debt_consolidation","consolidation","OR",22.8,12,16576,54.2,28,11931,8591,2699,0,641,6,"Sep-13",787,2013-09-01,2011-12-01,"2013","2011",21,15,11159,11329
"125",1068179,1302564,28000,11800,60,19.91,312,"E","E4","american airlines","10+","rent",52000,"verified","Dec-11","Charged Off","  Borrower added on 12/13/11 > Have cut up all credit cards and now trying to get one payment and one interest amount, instead of several payments with interests on them.<br> Borrower added on 12/14/11 > Have already gotten rid of all but one credit card to be held for emergency and to hold a hotel room if needed (usually pay for hotel room or rental car in cash on check out or returning the car).<br><br> Borrower added on 12/14/11 > To those who asked question, I am hoping the wording of my answers make sense. <br><br>  Borrower added on 12/23/11 > Thank you to those who have invested in me so far.<br>","debt_consolidation","debt consalidation","TX",20.7,10,29178,87.6,16,12173,4282,4759,0,3132,564,"Jun-14",312,2014-06-01,2011-12-01,"2014","2011",30,30,23718,27168
